Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SanitySuite,Firefox 69.0,,,2019-10-18 20:54:53,2019-10-18 21:20:38,25m - 45.579s,INCOMPLETE
,,,,,,,
Test Cases/workLifeTest/FacebockCreation,Firefox 69.0,,,2019-10-18 20:54:54,2019-10-18 20:55:03,9.327s,FAILED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-10-18 20:54:54,2019-10-18 20:54:54,0.018s,PASSED
openBrowser(AppUrl),Firefox 69.0,,,2019-10-18 20:54:54,2019-10-18 20:55:03,8.380s,FAILED
Start listener action : afterTestcase,Firefox 69.0,,,2019-10-18 20:55:03,2019-10-18 20:55:03,0.158s,PASSED
,,,,,,,
Test Cases/workLifeTest/ProfileDeletion,Firefox 69.0,,,2019-10-18 20:55:03,2019-10-18 20:56:32,1m - 28.908s,FAILED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-10-18 20:55:03,2019-10-18 20:55:03,0.000s,PASSED
openBrowser(AppUrl),Firefox 69.0,,,2019-10-18 20:55:04,2019-10-18 20:55:43,39.587s,PASSED
navigateToUrl(AppUrl),Firefox 69.0,,,2019-10-18 20:55:43,2019-10-18 20:55:50,6.716s,PASSED
"setText(findTestObject(""Object Repository/DeletionObject/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""worklifetest10002@gmail.com"")",Firefox 69.0,,,2019-10-18 20:55:50,2019-10-18 20:55:51,0.668s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DeletionObject/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), ""XU9cBalmEBp1UP+jEU2w4UUBUuNgBY4U"")",Firefox 69.0,,,2019-10-18 20:55:51,2019-10-18 20:55:51,0.607s,PASSED
"click(findTestObject(""Experience/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-10-18 20:55:51,2019-10-18 20:55:59,7.387s,PASSED
"click(findTestObject(""Object Repository/DeletionObject/Page_Home/i_Settings_fa fa-gear""))",Firefox 69.0,,,2019-10-18 20:55:59,2019-10-18 20:56:30,31.478s,FAILED
Start listener action : afterTestcase,Firefox 69.0,,,2019-10-18 20:56:30,2019-10-18 20:56:32,1.674s,PASSED
,,,,,,,
Test Cases/workLifeTest/FailureTest,Firefox 69.0,,,2019-10-18 20:56:32,2019-10-18 20:57:26,54.190s,PASSED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-10-18 20:56:32,2019-10-18 20:56:32,0.000s,PASSED
openBrowser(AppUrl),Firefox 69.0,,,2019-10-18 20:56:33,2019-10-18 20:57:12,39.306s,PASSED
navigateToUrl(AppUrl),Firefox 69.0,,,2019-10-18 20:57:12,2019-10-18 20:57:16,4.249s,PASSED
"setText(findTestObject(""Object Repository/Page_theworklife/input_Forgot password_username""), ""jsgifuwidw@gmail.com"")",Firefox 69.0,,,2019-10-18 20:57:16,2019-10-18 20:57:16,0.345s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_theworklife/input_Forgot password_password""), ""I24EpPs9VQ1LZoTHit0ojg=="")",Firefox 69.0,,,2019-10-18 20:57:16,2019-10-18 20:57:17,0.353s,PASSED
"click(findTestObject(""Object Repository/Page_theworklife/button_Sign in""))",Firefox 69.0,,,2019-10-18 20:57:17,2019-10-18 20:57:24,6.887s,PASSED
"click(findTestObject(""Object Repository/Page_theworklife/span_Username or Email ID does not exist""))",Firefox 69.0,,,2019-10-18 20:57:24,2019-10-18 20:57:24,0.484s,PASSED
"verifyElementText(findTestObject(""Page_theworklife/span_Username or Email ID does not exist""), ""Username or Email ID does not exist!"")",Firefox 69.0,,,2019-10-18 20:57:24,2019-10-18 20:57:24,0.251s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-18 20:57:24,2019-10-18 20:57:26,1.583s,PASSED
Start listener action : afterTestcase,Firefox 69.0,,,2019-10-18 20:57:26,2019-10-18 20:57:26,0.008s,PASSED
,,,,,,,
Test Cases/workLifeTest/ProfileCreationAddSkill,Firefox 69.0,,,2019-10-18 20:57:26,2019-10-18 20:59:07,1m - 40.992s,PASSED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-10-18 20:57:26,2019-10-18 20:57:26,0.000s,PASSED
"skill = ""SkillInput"" + System.currentTimeMillis()",Firefox 69.0,,,2019-10-18 20:57:27,2019-10-18 20:57:27,0.001s,PASSED
openBrowser(AppUrl),Firefox 69.0,,,2019-10-18 20:57:27,2019-10-18 20:58:04,37.237s,PASSED
navigateToUrl(AppUrl),Firefox 69.0,,,2019-10-18 20:58:04,2019-10-18 20:58:14,10.280s,PASSED
"setText(findTestObject(""Object Repository/SkillPageObject/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""worklifetest10001@gmail.com"")",Firefox 69.0,,,2019-10-18 20:58:14,2019-10-18 20:58:15,0.659s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SkillPageObject/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), ""XU9cBalmEBp1UP+jEU2w4UUBUuNgBY4U"")",Firefox 69.0,,,2019-10-18 20:58:15,2019-10-18 20:58:15,0.319s,PASSED
"click(findTestObject(""Object Repository/SkillPageObject/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-10-18 20:58:15,2019-10-18 20:58:21,5.475s,PASSED
"click(findTestObject(""Object Repository/SkillPageObject/Page_Home/a_profile""))",Firefox 69.0,,,2019-10-18 20:58:21,2019-10-18 20:58:29,7.899s,PASSED
"click(findTestObject(""Object Repository/SkillPageObject/Page_Home/a_Edit Profile""))",Firefox 69.0,,,2019-10-18 20:58:29,2019-10-18 20:58:34,5.457s,PASSED
"click(findTestObject(""Object Repository/SkillPageObject/Page_Edit Profile/a_Skills""))",Firefox 69.0,,,2019-10-18 20:58:34,2019-10-18 20:58:49,14.959s,PASSED
