Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression,Firefox 69.0,,,2019-12-04 01:19:44,2019-12-04 02:11:41,51m - 56.933s,FAILED
,,,,,,,
Test Cases/Connect with users,Firefox 69.0,,,2019-12-04 01:19:45,2019-12-04 01:20:44,59.660s,PASSED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-12-04 01:19:45,2019-12-04 01:19:45,0.032s,PASSED
openBrowser(AppUrl),Firefox 69.0,,,2019-12-04 01:19:46,2019-12-04 01:20:09,22.770s,PASSED
navigateToUrl(AppUrl),Firefox 69.0,,,2019-12-04 01:20:09,2019-12-04 01:20:12,2.860s,PASSED
"setText(findTestObject(""Experience/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""worklifetest10001@gmail.com"")",Firefox 69.0,,,2019-12-04 01:20:12,2019-12-04 01:20:13,0.986s,PASSED
"setEncryptedText(findTestObject(""Experience/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), ""XU9cBalmEBp1UP+jEU2w4UUBUuNgBY4U"")",Firefox 69.0,,,2019-12-04 01:20:13,2019-12-04 01:20:14,1.032s,PASSED
"click(findTestObject(""Object Repository/Rate/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-12-04 01:20:14,2019-12-04 01:20:22,8.056s,PASSED
"waitForElementPresent(findTestObject(""connect with user/Page_Home/a_connections""), 3)",Firefox 69.0,,,2019-12-04 01:20:22,2019-12-04 01:20:22,0.553s,PASSED
delay(4),Firefox 69.0,,,2019-12-04 01:20:22,2019-12-04 01:20:27,4.177s,PASSED
"click(findTestObject(""connect with user/Page_Home/a_connections""))",Firefox 69.0,,,2019-12-04 01:20:27,2019-12-04 01:20:30,3.957s,PASSED
"setText(findTestObject(""Rate/Page_Home/input_View all_searchText""), ""vijay"")",Firefox 69.0,,,2019-12-04 01:20:30,2019-12-04 01:20:31,0.787s,PASSED
"click(findTestObject(""Rate/Page_Home/Search user button""))",Firefox 69.0,,,2019-12-04 01:20:31,2019-12-04 01:20:38,6.468s,PASSED
"click(findTestObject(""connect with user/Page_Search/button_Connect""))",Firefox 69.0,,,2019-12-04 01:20:38,2019-12-04 01:20:39,0.757s,PASSED
closeBrowser(),Firefox 69.0,,,2019-12-04 01:20:39,2019-12-04 01:20:42,3.055s,PASSED
Start listener action : afterTestcase,Firefox 69.0,,,2019-12-04 01:20:42,2019-12-04 01:20:42,0.039s,PASSED
Video,Firefox 69.0,,,2019-12-04 01:20:44,2019-12-04 01:20:44,0.004s,PASSED
,,,,,,,
Test Cases/Accept connection request,Firefox 69.0,,,2019-12-04 01:20:44,2019-12-04 01:22:22,1m - 37.530s,FAILED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-12-04 01:20:44,2019-12-04 01:20:44,0.000s,PASSED
openBrowser(AppUrl),Firefox 69.0,,,2019-12-04 01:20:46,2019-12-04 01:21:02,16.716s,PASSED
navigateToUrl(AppUrl),Firefox 69.0,,,2019-12-04 01:21:02,2019-12-04 01:21:06,3.231s,PASSED
"setText(findTestObject(""Experience/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""yamanappa@gmail.com"")",Firefox 69.0,,,2019-12-04 01:21:06,2019-12-04 01:21:06,0.734s,PASSED
"setEncryptedText(findTestObject(""Experience/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Firefox 69.0,,,2019-12-04 01:21:06,2019-12-04 01:21:09,2.235s,PASSED
"click(findTestObject(""Object Repository/Rate/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-12-04 01:21:09,2019-12-04 01:21:17,8.733s,PASSED
