Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity prod,Firefox 69.0,,,2019-12-05 01:50:53,2019-12-05 02:16:29,25m - 35.455s,FAILED
,,,,,,,
Test Cases/Connect with users,Firefox 69.0,,,2019-12-05 01:50:54,2019-12-05 01:51:45,51.736s,PASSED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-12-05 01:50:54,2019-12-05 01:50:54,0.124s,PASSED
openBrowser(ProdAppUrl),Firefox 69.0,,,2019-12-05 01:50:55,2019-12-05 01:51:04,9.038s,PASSED
"navigateToUrl(""https://www.thework.life/"")",Firefox 69.0,,,2019-12-05 01:51:04,2019-12-05 01:51:09,5.177s,PASSED
"setText(findTestObject(""Experience/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""worklifetest10001@gmail.com"")",Firefox 69.0,,,2019-12-05 01:51:09,2019-12-05 01:51:09,0.607s,PASSED
"setEncryptedText(findTestObject(""Experience/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), ""XU9cBalmEBp1UP+jEU2w4UUBUuNgBY4U"")",Firefox 69.0,,,2019-12-05 01:51:09,2019-12-05 01:51:10,0.530s,PASSED
"click(findTestObject(""Object Repository/Rate/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-12-05 01:51:10,2019-12-05 01:51:17,7.185s,PASSED
"waitForElementPresent(findTestObject(""connect with user/Page_Home/a_connections""), 3)",Firefox 69.0,,,2019-12-05 01:51:17,2019-12-05 01:51:18,0.445s,PASSED
delay(4),Firefox 69.0,,,2019-12-05 01:51:18,2019-12-05 01:51:22,4.069s,PASSED
"click(findTestObject(""connect with user/Page_Home/a_connections""))",Firefox 69.0,,,2019-12-05 01:51:22,2019-12-05 01:51:26,4.223s,PASSED
"setText(findTestObject(""Rate/Page_Home/input_View all_searchText""), ""vijay test"")",Firefox 69.0,,,2019-12-05 01:51:26,2019-12-05 01:51:27,0.759s,PASSED
"click(findTestObject(""Rate/Page_Home/Search user button""))",Firefox 69.0,,,2019-12-05 01:51:27,2019-12-05 01:51:41,13.861s,PASSED
"click(findTestObject(""connect with user/Page_Search/button_Connect""))",Firefox 69.0,,,2019-12-05 01:51:41,2019-12-05 01:51:41,0.717s,PASSED
closeBrowser(),Firefox 69.0,,,2019-12-05 01:51:41,2019-12-05 01:51:43,1.838s,PASSED
Start listener action : afterTestcase,Firefox 69.0,,,2019-12-05 01:51:43,2019-12-05 01:51:43,0.009s,PASSED
Video,Firefox 69.0,,,2019-12-05 01:51:45,2019-12-05 01:51:45,0.001s,PASSED
,,,,,,,
Test Cases/Endorse skills,Firefox 69.0,,,2019-12-05 01:51:45,2019-12-05 01:53:01,1m - 15.201s,PASSED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-12-05 01:51:45,2019-12-05 01:51:45,0.000s,PASSED
openBrowser(ProdAppUrl),Firefox 69.0,,,2019-12-05 01:51:46,2019-12-05 01:51:51,5.328s,PASSED
"navigateToUrl(""https://www.thework.life/"")",Firefox 69.0,,,2019-12-05 01:51:51,2019-12-05 01:52:14,22.509s,PASSED
"setText(findTestObject(""Object Repository/Endorse skills/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""worklifetest10001@gmail.com"")",Firefox 69.0,,,2019-12-05 01:52:14,2019-12-05 01:52:14,0.739s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Endorse skills/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), ""XU9cBalmEBp1UP+jEU2w4UUBUuNgBY4U"")",Firefox 69.0,,,2019-12-05 01:52:14,2019-12-05 01:52:15,0.412s,PASSED
"click(findTestObject(""Object Repository/Rate/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-12-05 01:52:15,2019-12-05 01:52:23,7.873s,PASSED
"setText(findTestObject(""Object Repository/Endorse skills/Page_Home/input_View all_searchText""), "" vijay test"")",Firefox 69.0,,,2019-12-05 01:52:23,2019-12-05 01:52:23,0.601s,PASSED
delay(3),Firefox 69.0,,,2019-12-05 01:52:23,2019-12-05 01:52:26,3.006s,PASSED
"click(findTestObject(""Object Repository/Endorse skills/Page_Search/div_Vijay Test""))",Firefox 69.0,,,2019-12-05 01:52:26,2019-12-05 01:52:36,9.366s,PASSED
"click(findTestObject(""Endorse skills/Page_Search/search vijay test""))",Firefox 69.0,,,2019-12-05 01:52:36,2019-12-05 01:52:36,0.689s,PASSED
